################ (Airport Name : PR) ################
(Baita Airport, China : 0.0007873876936526771)
(Flesland, Norway : 0.000782356471389665)
(Changle, China : 0.0007806008167145126)
(Newcastle, United Kingdom : 0.0007768253589759084)
(Winnipeg Intl, Canada : 0.000773192170264601)
(Larnaca, Cyprus : 0.0007726395185585238)
(Ferihegy, Hungary : 0.000768456031639517)
(Ketchikan Intl, United States : 0.0007680310294539164)
(Ioannis Kapodistrias Intl, Greece : 0.0007668968021497719)
(Marechal Rondon, Brazil : 0.0007620023825135698)
(Iqaluit, Canada : 0.0007606584216487301)
(King Fahd Intl, Saudi Arabia : 0.0007573111211992784)
(Zia Intl, Bangladesh : 0.0007547861676286098)
(Sochi, Russia : 0.0007510330327971398)
(Keflavik International Airport, Iceland : 0.0007487945062201222)
(Yangon Intl, Burma : 0.0007451162021769101)
(Catania Fontanarossa, Italy : 0.0007442833399054191)
(Metropolitan Oakland Intl, United States : 0.0007425111383598354)
(EuroAirport Basel-Mulhouse-Freiburg, Switzerland : 0.0007351119672650344)
(Kotoka Intl, Ghana : 0.0007347065564363065)
(Bahrain Intl, Bahrain : 0.0007342031831160856)
(Makedonia, Greece : 0.0007272000335752408)
(Austin Bergstrom Intl, United States : 0.0007270461273326772)
(Val De Cans Intl, Brazil : 0.0007207327724986382)
(Rankin Inlet, Canada : 0.0007169517415811748)
(Gimhae Intl, South Korea : 0.0007157401370360152)
(Cape Town Intl, South Africa : 0.0007054788234023931)
(Ottawa Macdonald Cartier Intl, Canada : 0.0006957619832077376)
(General Mariano Escobedo Intl, Mexico : 0.000694840429718412)
(Khartoum, Sudan : 0.0006908951626403602)
(Blagnac, France : 0.0006876952749341433)
(Raleigh Durham Intl, United States : 0.0006838019884294257)
(Pisa, Italy : 0.0006829444558029265)
(Kota Kinabalu Intl, Malaysia : 0.0006828232891042901)
(Brussels South, Belgium : 0.0006823808393568592)
(Nnamdi Azikiwe Intl, Nigeria : 0.0006805790472917919)
(Girona, Spain : 0.0006766424657541477)
(Memphis Intl, United States : 0.0006735212545117432)
(Shiraz Shahid Dastghaib Intl, Iran : 0.0006724457626714713)
(Menorca, Spain : 0.0006713629030847849)
(El Salvador Intl, El Salvador : 0.0006705420850321114)
(Polonia, Indonesia : 0.0006702894625548048)
(Aniak Airport, United States : 0.0006694540691238018)
(San Antonio Intl, United States : 0.0006684577586588089)
(Meilan, China : 0.0006661170501140815)
(Rafic Hariri Intl, Lebanon : 0.0006642042376478793)
(Kahului, United States : 0.0006622645582023203)
(Esenboga, Turkey : 0.0006595894831381346)
(Phoenix International, China : 0.0006566317376546296)
(Changbei Intl, China : 0.0006529211124162626)
(Liangjiang, China : 0.000650889602043406)
(Sepinggan, Indonesia : 0.0006507860027179565)
(Guararapes Gilberto Freyre Intl, Brazil : 0.0006496996839453409)
(Ivato, Madagascar : 0.0006496432943660516)
(Jeju Intl, South Korea : 0.0006493298897536939)
(Astana Intl, Kazakhstan : 0.000647215760845172)
(Valencia, Spain : 0.0006464069683214133)
(Jose Joaquin De Olmedo Intl, Ecuador : 0.0006463197444994496)
(Phuket Intl, Thailand : 0.000646210256059898)
(El Alto Intl, Bolivia : 0.0006461585170502947)
(Hannover, Germany : 0.0006416682909396038)
(Louis Armstrong New Orleans Intl, United States : 0.0006415189251555238)
(City, United Kingdom : 0.0006396612085860293)
(Bologna, Italy : 0.0006389225030047933)
(Split, Croatia : 0.0006368855456640137)
(Naha, Japan : 0.0006357336688367479)
(Leopold Sedar Senghor Intl, Senegal : 0.000633283819266326)
(Tripoli Intl, Libya : 0.0006331519238158678)
(Schonefeld, Germany : 0.0006291904047575724)
(Norman Y Mineta San Jose Intl, United States : 0.0006291297079596011)
(Tanna island, Vanuatu : 0.0006287109222631335)
(Sept Iles, Canada : 0.0006285758426071412)
(Fuerteventura, Spain : 0.0006264035302630975)
(Beograd, Serbia : 0.0006243742327002309)
(Kos, Greece : 0.0006226307914396782)
(Santos Dumont, Brazil : 0.0006206988941628875)
(Nairobi Wilson, Kenya : 0.0006186952267864754)
(Mandalay Intl, Burma : 0.0006184766978246639)
(Cincinnati Northern Kentucky Intl, United States : 0.0006177657006467864)
(Capodichino, Italy : 0.0006171980550506345)
(Dubrovnik, Croatia : 0.0006150059664087603)
(Macau Intl, Macau : 0.0006137336379419147)
(Subang-Sultan Abdul Aziz Shah Intl, Malaysia : 0.0006132603918231934)
(Lanzhou Airport, China : 0.0006131548286375326)
(Leeds Bradford, United Kingdom : 0.0006115432635481463)
(Nantes Atlantique, France : 0.0006109228744704326)
(Chaklala, Pakistan : 0.0006101750436928035)
(Olbia Costa Smeralda, Italy : 0.0006099592082371425)
(Heydar Aliyev, Azerbaijan : 0.0006074589244882213)
(Quebec Jean Lesage Intl, Canada : 0.0006062671061850151)
(General Mitchell Intl, United States : 0.0006047185081696287)
(Miri, Malaysia : 0.0006018018776176912)
(Pittsburgh Intl, United States : 0.0005994947095524688)
(Osaka Intl, Japan : 0.0005986955426816908)
(Wabush, Canada : 0.0005977787837920018)
(Punta Cana Intl, Dominican Republic : 0.000595141286971156)
(Princess Juliana Intl, Netherlands Antilles : 0.0005944109054758133)
(Sacramento Intl, United States : 0.0005895695072168019)
(Halifax Intl, Canada : 0.000586046417359193)
(Reykjavik, Iceland : 0.0005821710589526514)
(Bilbao, Spain : 0.0005743916248491862)
(Lusaka Intl, Zambia : 0.0005738263621307458)
(Chinggis Khaan Intl, Mongolia : 0.0005734902538982878)
(King Salmon, United States : 0.0005732271762541622)
(Adnan Menderes, Turkey : 0.0005706375450610081)
(Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire : 0.0005667532365060001)
(Luxembourg, Luxembourg : 0.0005650192416647062)
(Wenzhou Yongqiang Airport, China : 0.0005650088287344998)
(Indianapolis Intl, United States : 0.0005627070201549912)
(Penang Intl, Malaysia : 0.0005612141476474875)
(Luogang, China : 0.000551537317030667)
(Port Columbus Intl, United States : 0.0005511139391630114)
(Novy, Russia : 0.000549879068322736)
(Cochin, India : 0.0005489076057573594)
(Thunder Bay, Canada : 0.0005481696978021956)
(Douala, Cameroon : 0.0005465511033960936)
(Vaernes, Norway : 0.0005460565600790874)
(Emelyanovo, Russia : 0.0005458257583999571)
(Pinto Martins Intl, Brazil : 0.0005432422279232223)
(Menara, Morocco : 0.0005386858287946385)
(Goose Bay, Canada : 0.0005382487980835885)
(Southwest Florida Intl, United States : 0.0005370694524533799)
(Nausori Intl, Fiji : 0.0005366063936506127)
(Rarotonga Intl, Cook Islands : 0.0005354068539634744)
(Albuquerque International Sunport, United States : 0.0005337133365487226)
(Sanaa Intl, Yemen : 0.0005298005099262662)
(Merignac, France : 0.0005282434795647676)
(Sir Seewoosagur Ramgoolam Intl, Mauritius : 0.0005276233212300692)
(Changchun, China : 0.0005269930304022319)
(Elmas, Italy : 0.0005259164094486528)
(Langnes, Norway : 0.0005256862115063034)
(Unalaska, United States : 0.0005256036300472777)
(Palermo, Italy : 0.0005229226107839223)
(Allama Iqbal Intl, Pakistan : 0.0005229040920286333)
(Santo Pekoa International Airport, Vanuatu : 0.0005204691811779302)
(Liverpool, United Kingdom : 0.0005199032928989693)
(Townsville, Australia : 0.0005184513873804594)
(Reina Beatrix Intl, Aruba : 0.0005181804639686354)
(Minsk 2, Belarus : 0.0005167512442020305)
(Phoenix-Mesa Gateway, United States : 0.0005159646210056507)
(Inuvik Mike Zubko, Canada : 0.0005147795010508196)
(Sofia, Bulgaria : 0.000514458123951825)
(Hato, Netherlands Antilles : 0.0005129899254634038)
(Viru Viru Intl, Bolivia : 0.0005106845834602972)
(Linate, Italy : 0.0005100147672978025)
(Nuuk, Greenland : 0.0005100125414677771)
(Alfonso Bonilla Aragon Intl, Colombia : 0.0005085423297345978)
(Yinchuan, China : 0.0005084532296591402)
(Eindhoven, Netherlands : 0.0005014506052194954)
(Dalaman, Turkey : 0.0004999508129018195)
(General Abelardo L Rodriguez Intl, Mexico : 0.0004980600728734922)
(Shijiazhuang Daguocun International Airport, China : 0.0004946907896891546)
(Lishe, China : 0.0004913194537777349)
(Burgas, Bulgaria : 0.0004893419676485334)
(Vilnius Intl, Lithuania : 0.0004889101734452777)
(Knevichi, Russia : 0.00048712716363513405)
(Tallinn, Estonia : 0.00048335625595930984)
(Tobias Bolanos International Airport, Costa Rica : 0.00048278167844474846)
(John Wayne Arpt Orange Co, United States : 0.00048210730282078685)
(Gold Coast, Australia : 0.00048074514117043556)
(Kuujjuaq, Canada : 0.0004784818291231536)
(Los Cabos Intl, Mexico : 0.00047464509531882075)
(Madeira, Portugal : 0.00047282659191803984)
(Imam Khomeini, Iran : 0.00047232064071589183)
(Tille, France : 0.000471952284128845)
(Gimpo, South Korea : 0.00046867203570634386)
(Kaohsiung Intl, Taiwan : 0.0004678154567678065)
(Frankfurt Hahn, Germany : 0.000467581330050529)
(Lokpriya Gopinath Bordoloi International Airport, India : 0.00046718995077798804)
(Bodo, Norway : 0.00046538151933295734)
(Dallas Love Fld, United States : 0.00046378057537491157)
(Mwalimu Julius K Nyerere Intl, Tanzania : 0.000462647348648881)
(Niederrhein, Germany : 0.0004614695758403983)
(Balice, Poland : 0.00046029483936222337)
(Sola, Norway : 0.0004599086798432987)
(Ilulissat, Greenland : 0.00045865195255814784)
(Chiang Mai Intl, Thailand : 0.00045786609490225123)
(Borg El Arab Intl, Egypt : 0.00045721966378639296)
(Beijing Nanyuan Airport, China : 0.0004571272636330971)
(Male Intl, Maldives : 0.0004557813312964198)
(Guam Intl, Guam : 0.0004545298889419129)
(Kuching Intl, Malaysia : 0.00045167839382274607)
(Red Lake Airport, Canada : 0.00045138663301455236)
(Esfahan Shahid Beheshti Intl, Iran : 0.00045055657992393945)
(Laishan, China : 0.0004503398124834347)
(Kigali Intl, Rwanda : 0.0004499211259077898)
(Vityazevo, Russia : 0.0004491991993795855)
(Las Americas Intl, Dominican Republic : 0.00044752899004909077)
(Zhuliany Intl, Ukraine : 0.00044697476168766286)
(Yakutsk, Russia : 0.00044351576469753924)
(Myrtle Beach Intl, United States : 0.0004390225865481634)
(Ahmedabad, India : 0.00043778684019920146)
(Pafos Intl, Cyprus : 0.0004377798631430035)
(Xining Caojiabu Airport, China : 0.00043717854516630054)
(Cadjehoun, Benin : 0.0004357901158646262)
(Billings Logan International Airport, United States : 0.0004353304450174615)
(Sevilla, Spain : 0.00043526092955373426)
(Lijiang Airport, China : 0.0004351993162140177)
(Bari, Italy : 0.00043469228553804935)
(Santa Genoveva, Brazil : 0.0004339733884212661)
(Entebbe Intl, Uganda : 0.00043238150679036956)
(Hang Nadim, Indonesia : 0.00043123610506057785)
(Ciampino, Italy : 0.0004304799030046707)
(Ahwaz, Iran : 0.00042941009638184117)
(Sentani, Indonesia : 0.0004278047876045182)
(Eros Airport, Namibia : 0.00042394284233525977)
(Campo Dell Oro, France : 0.0004219475387665946)
(Sangster Intl, Jamaica : 0.0004202107448207711)
(Mount Isa, Australia : 0.00041840181648510684)
(Jersey, Jersey : 0.000418296758770766)
(Landvetter, Sweden : 0.0004181653483939196)
(Kirkwall, United Kingdom : 0.0004181084834844771)
(Hercilio Luz, Brazil : 0.00041797765738246664)
(Belfast Intl, United Kingdom : 0.00041796911422293094)
(V C Bird Intl, Antigua and Barbuda : 0.00041766213049086016)
(Harare Intl, Zimbabwe : 0.000417222735726324)
(Ugnu-Kuparuk Airport, United States : 0.00041720956247022793)
(Manas, Kyrgyzstan : 0.00041623300963400454)
(Zvartnots, Armenia : 0.00041588396419692687)
(Jacksonville Intl, United States : 0.0004115347880549587)
(Jose Maria Cordova, Colombia : 0.000410290494596131)
(Ouagadougou, Burkina Faso : 0.00040834801155680456)
(Prince Mohammad Bin Abdulaziz, Saudi Arabia : 0.00040791743958643024)
(Nurnberg, Germany : 0.0004068936379011852)
(Lech Walesa, Poland : 0.000406670702042439)
(Dyce, United Kingdom : 0.0004056618542215409)
(Souda, Greece : 0.0004035383350422208)
(Bandar Abbass Intl, Iran : 0.000400392815419012)
(Southampton, United Kingdom : 0.00040037543356777577)
(Olaya Herrera, Colombia : 0.00040019322619663106)
(Sondre Stromfjord, Greenland : 0.0003986458993049093)
(Louisville International Airport, United States : 0.00039858987061121016)
(Will Rogers World, United States : 0.00039840159481655825)
(La Aurora, Guatemala : 0.00039786869070009185)
(Irkutsk, Russia : 0.0003975136897653971)
(Wuxi Airport, China : 0.00039699628469441555)
(Maputo, Mozambique : 0.0003967783553240164)
(Governador Jorge Teixeira De Oliveira, Brazil : 0.0003953468445036058)
(Sharm El Sheikh Intl, Egypt : 0.0003945659063980001)
(Neuenland, Germany : 0.00039342802018521453)
(Pampulha Carlos Drummond De Andrade, Brazil : 0.0003928609553339881)
(Edward G Pitka Sr, United States : 0.0003907287953649381)
(Thiruvananthapuram Intl, India : 0.00038457727069581753)
(Wattay Intl, Laos : 0.000383568695920431)
(Licenciado Gustavo Diaz Ordaz Intl, Mexico : 0.00038330596986866955)
(Bradley Intl, United States : 0.00038227127120679075)
(Tokua Airport, Papua New Guinea : 0.00038102450696052693)
(Zagreb, Croatia : 0.00038089374635187775)
(Skavsta, Sweden : 0.00037989591706833934)
(Goiabeiras, Brazil : 0.00037872660138101803)
(Kurumoch, Russia : 0.000378405151182799)
(Providenciales, Turks and Caicos Islands : 0.00037765280404171485)
(Kazan, Russia : 0.000377637028360152)
(Cardiff, United Kingdom : 0.0003776356461667995)
(St Petersburg Clearwater Intl, United States : 0.0003772544306581873)
(Torp, Norway : 0.00037631313835274807)
(Mount Hagen, Papua New Guinea : 0.0003760319849129808)
(Narsarsuaq, Greenland : 0.00037585292110801547)
(Sam Ratulangi, Indonesia : 0.0003757911759938021)
(Bodrum - Milas, Turkey : 0.00037433968396739326)
(Pashkovskiy, Russia : 0.0003703417126083927)
(Firenze, Italy : 0.000370310219304316)
(Siem Reap, Cambodia : 0.0003700837363305752)
(Santarem, Brazil : 0.0003690145065333791)
(Piarco, Trinidad and Tobago : 0.00036746894115595116)
(Durban Intl, South Africa : 0.0003672033941342053)
(St Denis Gillot, Reunion : 0.0003670269878628759)
(St Johns Intl, Canada : 0.000366655417534076)
(Grantley Adams Intl, Barbados : 0.0003665009077901553)
(Sungshan, Taiwan : 0.0003663865105726805)
(Cambridge Bay, Canada : 0.0003659482133011148)
(Danang Intl, Vietnam : 0.00036582700553212347)
(Campo Grande, Brazil : 0.0003648438511583065)
(Nadzab, Papua New Guinea : 0.00036439761627108736)
(Es Senia, Algeria : 0.0003634240102316699)
(Waskaganish Airport, Canada : 0.00036234969544819034)
(Dongshan, China : 0.0003619231371735257)
(Fort Yukon, United States : 0.0003610669811133885)
(Toncontin Intl, Honduras : 0.00036087843092810973)
(Pristina, Serbia : 0.0003607965243430288)
(Munda Airport, Solomon Islands : 0.0003599043769785933)
(Moss, Norway : 0.00035961689392451893)
(El Plumerillo, Argentina : 0.00035910941119499)
(Leite Lopes, Brazil : 0.000356545924832211)
(Peshawar Intl, Pakistan : 0.0003560807439926286)
(Norman Wells, Canada : 0.000355410603430381)
(Ponta Delgada, Portugal : 0.00035503103716265404)
(Lifou, New Caledonia : 0.0003549563740057784)
(Kilimanjaro Intl, Tanzania : 0.00035464684382906155)
(Wiley Post Will Rogers Mem, United States : 0.0003546238791507216)
(Pattimura, Indonesia : 0.00035405961983521754)
(Adi Sutjipto, Indonesia : 0.00035355912107030106)
(Temindung, Indonesia : 0.00035324318285352707)
(Pune, India : 0.0003517899204891863)
(Billund, Denmark : 0.0003515855061331484)
(Kodiak, United States : 0.00034873408741537514)
(Palm Beach Intl, United States : 0.00034617990891151263)
